commissioning_date,energy_source_level_1,energy_source_level_2,technology,electrical_capacity,dso,gsrn_id,postcode,municipality_code,municipality,address,address_number,utm_east,utm_north,lat,lon,hub_height,rotor_diameter,manufacturer,model,data_source
6/1/78,Renewable energy,Wind,Onshore,0.4,,5.71E+17,,661,Holstebro,"Madum by, Madum",36a,455393.4,6234801,56.25596,8.28001,54,54,Tvind,Ukendt-Tvind,Energistyrelsen
9/4/78,Renewable energy,Wind,Onshore,0.023,,5.71E+17,,760,Ringkøbing-Skjern,,,475784,6212737,56.0592,8.61113,18,12,Ukendt,Ukendt-Ukendt,Energistyrelsen
1/2/79,Renewable energy,Wind,Onshore,0.019,,5.71E+17,,706,Syddjurs,,,588658.8,6245122,56.34248,10.43431,20,10,Odder,18 SP,Energistyrelsen
8/16/79,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,760,Ringkøbing-Skjern,Dejbjerg Præstegård,3a,462507.9,6204703,55.98617,8.39907,19,16,Vestas Wind Systems A/S,V 55-16 kW,Energistyrelsen
11/9/79,Renewable energy,Wind,Onshore,0.011,,5.71E+17,,791,Viborg,,,534404.4,6269460,56.56818,9.55988,15,15,Kuriant,KE 15/4-Kuriant,Energistyrelsen
11/9/79,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,573,Varde,,,456435.3,6168337,55.65892,8.30757,0.1,0.1,Ukendt,Ukendt-Ukendt,Energistyrelsen
1/3/80,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,615,Horsens,Underup by / Underup sogn,5b,542828.4,6199914,55.94269,9.6857,23,15.3,Vestas Wind Systems A/S,V 15 55/15 ,Energistyrelsen
2/14/80,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,306,Odsherred,,,647535,6204760,55.96548,11.36371,18,10,Kongsted,22-Kongsted,Energistyrelsen
4/1/80,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,791,Viborg,Viborg Markjorder,309as,525301.3,6258180,56.46742,9.41065,23,14,Windmatic,55/11:15.D,Energistyrelsen
6/16/80,Renewable energy,Wind,Onshore,0.03,,5.71E+17,,741,Samsø,"Brundby by, Tranebjerg",14l,600254.8,6185470,55.80442,10.59949,18,10,Sonebjerg,30-Sonebjerg,Energistyrelsen
6/27/80,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,306,Odsherred,"Nr. Asmindrup By, Nr. Asmindrup",5a,664607.6,6196625,55.88692,11.63197,22,15,Vestas Wind Systems A/S,V 55-16 ,Energistyrelsen
7/9/80,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,860,Hjørring,"Sdr. Harritslev By, Harritslev",14a,554284.9,6364814,57.42281,9.9039,18,14,Wind-Matic/Riisager Møllen,VM 18/7-55,Energistyrelsen
8/22/80,Renewable energy,Wind,Onshore,0.015,,5.71E+17,,573,Varde,,,474037.8,6157471,55.56255,8.58836,18,9,Kuriant,Ukendt-Kuriant,Energistyrelsen
10/1/80,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,810,Brønderslev,"Bolleenge, Dronninglund",1,576492,6331623,57.12153,10.26333,22,15,Vestas Wind Systems A/S,Ukendt-Vestas,Energistyrelsen
10/1/80,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,400,Bornholm,Klemensker,11a,868490.1,6134046,55.21503,14.79497,18,0.1,Vestas Wind Systems A/S,Ukendt-Vestas,Energistyrelsen
10/15/80,Renewable energy,Wind,Onshore,0.03,,5.71E+17,,376,Guldborgsund,Idestrup,36,691201.9,6071182,54.75144,11.97111,18,11,BONUS,Ukendt-BONUS,Energistyrelsen
12/1/80,Renewable energy,Wind,Onshore,0.02,,5.71E+17,,376,Guldborgsund,,,681873.8,6079747,54.83177,11.83173,20,12.6,Genvind,GV 20,Energistyrelsen
1/22/81,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,306,Odsherred,,,650758.8,6204032,55.95794,11.4149,18,10,Kongsted,22-Kongsted,Energistyrelsen
1/23/81,Renewable energy,Wind,Onshore,0.011,,5.71E+17,,791,Viborg,,,529760.8,6260335,56.48652,9.48327,16,10,J S Dana,Ukendt-J S Dana,Energistyrelsen
2/15/81,Renewable energy,Wind,Onshore,0.018,,5.71E+17,,661,Holstebro,,,482887.8,6256234,56.45031,8.72239,19,10.8,Kuriant,KE 18/4 EH-Kuriant,Energistyrelsen
2/19/81,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,306,Odsherred,,,650683.6,6203465,55.95288,11.41338,18,10,Kongsted,22-Kongsted,Energistyrelsen
2/19/81,Renewable energy,Wind,Onshore,0.015,,5.71E+17,,360,Lolland,,,661557.8,6094550,54.97164,11.52408,12,10,Bosted,KE 15 K,Energistyrelsen
3/1/81,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,760,Ringkøbing-Skjern,,,476353.6,6206516,56.00334,8.62082,19,12,Vestas Wind Systems A/S,V 12,Energistyrelsen
3/2/81,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,430,Faaborg-Midtfyn,,,,,,,18,10,Ukendt,Ukendt-Ukendt,Energistyrelsen
4/10/81,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,306,Odsherred,,,667394.8,6190835,55.83399,11.67291,18,10,Kongsted,22-Kongsted,Energistyrelsen
4/29/81,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,482,Langeland,"Herslev By, Lindelse",3b,610488.8,6083843,54.8894,10.72259,18,15,Vestas Wind Systems A/S,HVK 55,Energistyrelsen
5/15/81,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,787,Thisted,Ydby by,10a,464444.8,6283811,56.69702,8.41941,18.5,10,Smedemester,22-Smedemester,Energistyrelsen
8/3/81,Renewable energy,Wind,Onshore,0.0185,,5.71E+17,,320,Faxe,,,703099.6,6130911,55.28269,12.1981,18,11,Ukendt,Ukendt-Ukendt,Energistyrelsen
9/21/81,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,306,Odsherred,"Overby By, Odden",12a,648996.1,6204217,55.96015,11.38679,18,15,Vestas Wind Systems A/S,V 55-16 ,Energistyrelsen
9/21/81,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,326,Kalundborg,,,637004,6155296,55.52447,11.17033,18,10,Kongsted,22-Kongsted,Energistyrelsen
10/7/81,Renewable energy,Wind,Onshore,0.0185,,5.71E+17,,410,Middelfart,,,551498.6,6154137,55.53056,9.81587,20,11,Kuriant,KE 15/4-Kuriant,Energistyrelsen
10/12/81,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,615,Horsens,"Vestbirk By, Vestbirk",5a,545061.6,6202595,55.96658,9.7219,24,15.5,Vestas Wind Systems A/S,V 55-15 ,Energistyrelsen
11/9/81,Renewable energy,Wind,Onshore,0.025,,5.71E+17,,360,Lolland,,,641964.4,6077792,54.82712,11.20998,18,10,Vestas Wind Systems A/S,HVK 10,Energistyrelsen
1/21/82,Renewable energy,Wind,Onshore,0.045,,5.71E+17,,350,Lejre,Nr. Hvalsø,9a,680396.6,6165442,55.60143,11.8635,20.5,18,Nordtank,NTK 55/11,Energistyrelsen
2/3/82,Renewable energy,Wind,Onshore,0.015,,5.71E+17,,851,Ålborg,,,547693.6,6314262,56.96948,9.78448,18,11,Bosted,18-Bosted,Energistyrelsen
2/3/82,Renewable energy,Wind,Onshore,0.015,,5.71E+17,,420,Assens,,,569380.5,6125339,55.26962,10.09196,18,10,Kuriant,KE 15/4-Kuriant,Energistyrelsen
2/24/82,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,400,Bornholm,,,869835.8,6127583,55.15624,14.80757,18,11,Nordtank,"NTK 22/7,5",Energistyrelsen
3/1/82,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,420,Assens,"Verninge By, Verninge",11b,577227.8,6126812,55.28169,10.21584,22,15,Vestas Wind Systems A/S,Ukendt-Vestas,Energistyrelsen
3/9/82,Renewable energy,Wind,Onshore,0.0185,,5.71E+17,,760,Ringkøbing-Skjern,,,476757.8,6214914,56.07881,8.62658,17.5,11,Kuriant,KE 15/4-Kuriant,Energistyrelsen
4/1/82,Renewable energy,Wind,Onshore,0.015,,5.71E+17,,330,Slagelse,,,647193.8,6123743,55.23821,11.31499,18,11,POULSEN,TYPE 2,Energistyrelsen
4/21/82,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,779,Skive,,,489644.8,6275674,56.62516,8.83123,20.5,10,Nordtank,NTK 22,Energistyrelsen
4/27/82,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,250,Frederikssund,Røgerup,2d,684172.1,6183028,55.75783,11.93515,22,17,Vestas Wind Systems A/S,V 17-75 ,Energistyrelsen
4/28/82,Renewable energy,Wind,Onshore,0.044,,5.71E+17,,561,Esbjerg,Terp By,3m,482523.6,6149598,55.49218,8.7234,0.1,0.1,Ukendt,Ukendt-Ukendt,Energistyrelsen
5/14/82,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,741,Samsø,"Nordby by, Nordby",22a,597054,6202066,55.95414,10.55439,22,15,Vestas Wind Systems A/S,HVK 15,Energistyrelsen
6/15/82,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,661,Holstebro,,,483321.6,6249666,56.39131,8.72984,18,10,Smedemester,22-Smedemester,Energistyrelsen
6/29/82,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,573,Varde,Dyreby By,4g,455535.9,6173512,55.70534,8.29243,0.1,0.1,Ukendt,Ukendt-Ukendt,Energistyrelsen
10/1/82,Renewable energy,Wind,Onshore,0.015,,5.71E+17,,480,Nordfyns,,,572651.3,6155159,55.53706,10.15119,18,10.8,Kuriant,KE 18/4 EH-Kuriant,Energistyrelsen
12/13/82,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,360,Lolland,Købelev,13a,634412.1,6085368,54.89724,11.09603,18,15.3,Vestas Wind Systems A/S,V 55-11 ,Energistyrelsen
1/25/83,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,360,Lolland,Fuglse,1a,662505.9,6063461,54.69221,11.52141,22,17,Vestas Wind Systems A/S,V 17-75 ,Energistyrelsen
2/28/83,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,573,Varde,Kirkeby By,6d,452626.6,6176936,55.73582,8.24555,23,15.4,Vestas Wind Systems A/S,V 15,Energistyrelsen
4/28/83,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,741,Samsø,"Onsbjerg by, Onsbjerg",21d,597773.8,6203842,55.96994,10.56655,18,13,Swinger,T 202,Energistyrelsen
5/2/83,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,330,Slagelse,"Lundby By, Skælskør",27a,651842.8,6123060,55.23067,11.38767,18,10,Sonebjerg,22-Sonebjerg,Energistyrelsen
5/15/83,Renewable energy,Wind,Onshore,0.011,,5.71E+17,,787,Thisted,,,463110.4,6291930,56.76985,8.39646,12.5,8.6,THY møllen Aps,THY 11,Energistyrelsen
5/27/83,Renewable energy,Wind,Onshore,0.015,,5.71E+17,,661,Holstebro,,,488354.9,6266069,56.53883,8.81064,18.5,10,Kuriant,KE 15/4-Kuriant,Energistyrelsen
8/28/83,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,727,Odder,"Gyllin by,Gylling",39c,573836.9,6190779,55.85687,10.17957,22.5,14.5,Windmatic,VM 15 S,Energistyrelsen
9/5/83,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,326,Kalundborg,"Nyrup By, Raklev",8c,627520.6,6175920,55.71224,11.02975,18,15,Vestas Wind Systems A/S,V 55-16 ,Energistyrelsen
10/10/83,Renewable energy,Wind,Onshore,0.018,,5.71E+17,,787,Thisted,,,476967.9,6308219,56.91708,8.6217,24,11,Bosted,KE 18/4 EH-Bosted,Energistyrelsen
11/8/83,Renewable energy,Wind,Onshore,0.045,,5.71E+17,,390,Vordingborg,"Hårbølle, Askeby",4a,702705.2,6087811,54.89614,12.16121,24,15.7,Nordtank,Ukendt-Nordtank,Energistyrelsen
11/10/83,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,390,Vordingborg,Stege Markjorder,113e,709663.8,6099963,55.0023,12.27841,25,17,Ukendt,Ukendt-Ukendt,Energistyrelsen
11/15/83,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,665,Lemvig,"Kongensgård Hdg., Nr. Nissum",1ih,463796.6,6268741,56.56159,8.41094,22.6,15,Vestas Wind Systems A/S,V 55-15 ,Energistyrelsen
1/3/84,Renewable energy,Wind,Onshore,0.03,,5.71E+17,,766,Hedensted,"Breth By, Barrit",6g,556985.8,6177145,55.73667,9.90756,18,10,Vestas Wind Systems A/S,HVK 30,Energistyrelsen
3/19/84,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,760,Ringkøbing-Skjern,Lønborggård Hgd,34c,463452.4,6194096,55.89094,8.41564,0.1,0.1,Ukendt,Ukendt-Ukendt,Energistyrelsen
4/12/84,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,550,Tønder,,,478728.6,6105421,55.09507,8.66668,18.5,10,Beck Ballum,Ukendt-Beck Ballum,Energistyrelsen
5/14/84,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,219,Hillerød,Uvelse,12d,704484.3,6196340,55.86909,12.2683,22.6,15,Vestas Wind Systems A/S,V 55-15 ,Energistyrelsen
6/26/84,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,360,Lolland,Fejø,46c,651204.4,6092875,54.95985,11.3616,18,17,Vestas Wind Systems A/S,V 55-11 ,Energistyrelsen
8/8/84,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,575,Vejen,Skudstrup,70,511906.3,6143563,55.43812,9.18818,23,15.3,Vestas Wind Systems A/S,55-Vestas,Energistyrelsen
10/1/84,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,370,Næstved,"Fodby,Næstved",16 m.fl,671681.9,6124583,55.23784,11.70019,24.5,17,Vestas Wind Systems A/S,18-75,Energistyrelsen
10/11/84,Renewable energy,Wind,Onshore,0.015,,5.71E+17,,760,Ringkøbing-Skjern,,,476407.9,6214332,56.07357,8.62101,18,18,Kuriant,KE 15,Energistyrelsen
11/21/84,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,779,Skive,"Vile by, Vile",1a,491931.6,6285198,56.71076,8.8682,24.5,16,Nordtank,NTK 55/10,Energistyrelsen
11/24/84,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,330,Slagelse,"Ormeslev By, Vemmelev",16m,642275.4,6134408,55.33541,11.2431,18,16,Nordtank,NTK 55/11,Energistyrelsen
1/15/85,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,671,Struer,"Brejnholt, Humlum",1a,474161.4,6264709,56.52605,8.57998,23.5,17,Vestas Wind Systems A/S,V 17-75 ,Energistyrelsen
2/1/85,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,360,Lolland,Kallehavegård/Kappel,1,630182.7,6072525,54.78301,11.02434,24,17,Vestas Wind Systems A/S,V 17-75 ,Energistyrelsen
2/6/85,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,240,Egedal,Edelgave Hovedgård,1a,704645,6180334,55.72544,12.25884,22,17,Vestas Wind Systems A/S,V 17-75 ,Energistyrelsen
3/18/85,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,766,Hedensted,Ølholm By,8b,534172.1,6187170,55.82889,9.54551,24,17,Vestas Wind Systems A/S,V 17-75 ,Energistyrelsen
4/23/85,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,330,Slagelse,"Forlev By, Vemmelev",14,643006.1,6140704,55.39173,11.25783,22.5,17,Vestas Wind Systems A/S,V 17,Energistyrelsen
5/8/85,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,250,Frederikssund,Over Dråby,3a,686763.6,6191489,55.83276,11.98219,22,15,Vestas Wind Systems A/S,V 55-11 ,Energistyrelsen
5/31/85,Renewable energy,Wind,Onshore,0.018,,5.71E+17,,390,Vordingborg,,,716990.1,6099491,54.99493,12.39239,18,11,Odder,"18,5-Odder",Energistyrelsen
6/12/85,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,766,Hedensted,"Gramrode By, Rårup",6ap,557381.4,6178859,55.75202,9.91422,23,17,Windmatic,VM 17 S,Energistyrelsen
6/15/85,Renewable energy,Wind,Onshore,0.076,,5.71E+17,,787,Thisted,Ydby by,14a,463937.1,6283455,56.69378,8.41117,12,8,Nordvestjysk Folkecenter,FC 4000,Energistyrelsen
8/29/85,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,661,Holstebro,"Nr. Wosborg Hgd., Ulfborg",1a,458437.9,6242343,56.32399,8.32796,22.6,17,Vestas Wind Systems A/S,V 17-75 ,Energistyrelsen
10/2/85,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,240,Egedal,Veksø,12f,703567,6182654,55.74671,12.24343,22,15,Vestas Wind Systems A/S,V 55-11 ,Energistyrelsen
11/1/85,Renewable energy,Wind,Onshore,0.065,,5.71E+17,,370,Næstved,Rislev,12a,673773.7,6127971,55.26752,11.73514,24,17,Vestas Wind Systems A/S,Ukendt-Vestas,Energistyrelsen
11/21/85,Renewable energy,Wind,Onshore,0.025,,5.71E+17,,306,Odsherred,,,672165.7,6173355,55.67543,11.73797,18,15,Vestas Wind Systems A/S,V 16,Energistyrelsen
1/1/86,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,376,Guldborgsund,Sakskøbing Markjorde,00225a,668332.7,6075994,54.80282,11.61897,24.5,23,Danregn Vindkraft,B-100-1 REV.4,Energistyrelsen
5/5/86,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,326,Kalundborg,"Nyrup By, Raklev",8c,627696,6175985,55.71278,11.03257,18,15,Vestas Wind Systems A/S,V 55-16 ,Energistyrelsen
5/5/86,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,326,Kalundborg,"Nyrup By, Raklev",7a,627635.9,6175856,55.71164,11.03156,18,15,Vestas Wind Systems A/S,V 55-16 ,Energistyrelsen
5/15/86,Renewable energy,Wind,Onshore,0.095,,5.71E+17,,787,Thisted,Vestervig,32b,459501.3,6295366,56.80042,8.33687,24.5,19,BONUS,99-BONUS,Energistyrelsen
5/16/86,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,760,Ringkøbing-Skjern,"Den mellemste del, Hee sogn",9b,454161.3,6222218,56.1428,8.2623,22.5,17,Vestas Wind Systems A/S,V 17-75 ,Energistyrelsen
5/26/86,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,410,Middelfart,"Føns By, Føns",13m,552045.3,6140704,55.40981,9.82202,22.5,17,Vestas Wind Systems A/S,V 55-16 ,Energistyrelsen
6/15/86,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,661,Holstebro,"Handbjerg Hovedgård, Handbjerg",13a,482684.7,6256937,56.45662,8.71905,22.5,17,Vestas Wind Systems A/S,V 17-75 ,Energistyrelsen
7/10/86,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,306,Odsherred,"Eskildstrup By, Vig",6f,665634,6192982,55.85387,11.64613,18,17,Vestas Wind Systems A/S,V 17-55 ,Energistyrelsen
12/1/86,Renewable energy,Wind,Onshore,0.018,,5.71E+17,,330,Slagelse,,,642484.6,6123959,55.24153,11.2411,18,11,Ukendt,Ukendt-Ukendt,Energistyrelsen
12/22/86,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,615,Horsens,,,540876.4,6201285,55.95518,9.65466,12,10,Windmatic,WMR 12/5-22,Energistyrelsen
2/27/87,Renewable energy,Wind,Onshore,0.09,,5.71E+17,,860,Hjørring,"Måstrup By, Mosbjerg",10a,575994.8,6376847,57.52777,10.26905,22.5,17.5,Vestas Wind Systems A/S,Ukendt-Vestas,Energistyrelsen
4/1/87,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,661,Holstebro,"Bjert By, Sahl",16a,485843.3,6257544,56.46217,8.77026,30.8,17,Windmatic,17 S,Energistyrelsen
4/1/87,Renewable energy,Wind,Onshore,0.075,,5.71E+17,,661,Holstebro,"Bjert By, Sahl",2b,485966.8,6257660,56.46322,8.77226,30.8,17,Windmatic,17 S,Energistyrelsen
4/13/87,Renewable energy,Wind,Onshore,0.095,,5.71E+17,,350,Lejre,Vester Såby,31e,679150.3,6169603,55.63923,11.84645,24.5,18,BONUS,95-20  ,Energistyrelsen
4/15/87,Renewable energy,Wind,Onshore,0.09,,5.71E+17,,787,Thisted,Vandet,7a,474925.1,6318285,57.0074,8.58715,24,18.8,Vestas Wind Systems A/S,V 19-90 ,Energistyrelsen
7/1/87,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,813,Frederikshavn,"St. Ørtoft, Volstrup",6c,588017.7,6350270,57.28693,10.46022,30,22.4,Ukendt,Ukendt-Ukendt,Energistyrelsen
7/2/87,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,330,Slagelse,,,649815.3,6137390,55.35995,11.36346,24,10.8,Reymo,22-Reymo,Energistyrelsen
9/4/87,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,390,Vordingborg,"Endegårde, Skibinge",4c,695799.3,6110961,55.10663,12.06952,24.5,23,BONUS,150/30 kW,Energistyrelsen
10/14/87,Renewable energy,Wind,Onshore,0.09,,5.71E+17,,813,Frederikshavn,"Gersholt, Torslev",1a,576477.6,6358274,57.36089,10.27131,22.5,17.5,Vestas Wind Systems A/S,Ukendt-Vestas,Energistyrelsen
10/19/87,Renewable energy,Wind,Onshore,0.095,,5.71E+17,,573,Varde,Frøstrup Hgd,5h,463669.2,6177101,55.73826,8.42138,0.1,0.1,Vestas Wind Systems A/S,Ukendt-Vestas,Energistyrelsen
11/1/87,Renewable energy,Wind,Onshore,0.099,,5.71E+17,,370,Næstved,"Karrebækstorp By, Karrebæk",1b,665686.4,6119696,55.19602,11.60314,30,19,Windmatic,VM 19 S,Energistyrelsen
11/12/87,Renewable energy,Wind,Onshore,0.095,,5.71E+17,,615,Horsens,"Endelave By, Endelave",20k,580021.2,6178948,55.74961,10.27486,24,19.4,BONUS,Ukendt-BONUS,Energistyrelsen
11/18/87,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,376,Guldborgsund,Gedesby By Og Sogn,8a,688052.5,6055354,54.61056,11.91205,24.5,23,BONUS,150   - MK l,Energistyrelsen
12/1/87,Renewable energy,Wind,Onshore,0.095,,5.71E+17,,330,Slagelse,Omø By Og Sogn,19e,637183,6114185,55.15526,11.15304,24,19,Tellus,DW 95,Energistyrelsen
12/10/87,Renewable energy,Wind,Onshore,0.25,,5.71E+17,,751,Århus,Hvilsted by,25,565535.9,6208181,56.0144,10.05121,28.5,26,NEG Micon,Ukendt-NEG Micon,Energistyrelsen
12/15/87,Renewable energy,Wind,Onshore,0.2,,5.71E+17,,787,Thisted,Kallerup,2v,474630.5,6309425,56.92779,8.58319,30,25,Vestas Wind Systems A/S,V 25-200 ,Energistyrelsen
12/17/87,Renewable energy,Wind,Onshore,0.2,,5.71E+17,,773,Morsø,Solbjerg,10a,481731.1,6303004,56.87044,8.70031,30,25,Vestas Wind Systems A/S,V 25-200 ,Energistyrelsen
12/18/87,Renewable energy,Wind,Onshore,0.2,,5.71E+17,,661,Holstebro,Klitengene Sdr. Nissum,33d,446183.1,6247642,56.37036,8.12874,30,25,Vestas Wind Systems A/S,V 25-200 ,Energistyrelsen
12/28/87,Renewable energy,Wind,Onshore,0.16,,5.71E+17,,510,Haderslev,Skibelund,160,504848.8,6121854,55.24317,9.07626,30,23.2,Wind World,WW 2320-160 ,Energistyrelsen
1/3/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,621,Kolding,Ferup,7m,524534.6,6156180,55.55102,9.38889,30,21.8,Vindsyssel,VS 150 ,Energistyrelsen
1/8/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,326,Kalundborg,"Svallerup By, Svallerup",18c,634855.5,6164520,55.60789,11.14082,30.2,24,Norwin,3 bladet stallreguleret,Energistyrelsen
1/8/88,Renewable energy,Wind,Onshore,0.225,,5.71E+17,,326,Kalundborg,"Svallerup By, Svallerup",18c,634991.7,6164571,55.60831,11.143,30,27,Norwin,DK 22-Norwin,Energistyrelsen
1/15/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,671,Struer,Smerup by,3a,468953.4,6279723,56.66062,8.49353,24.5,23,BONUS,150/30 kW,Energistyrelsen
1/15/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,615,Horsens,"Endelave By ,Endelave",24a,580018.9,6179097,55.75095,10.27487,24,23,BONUS,Ukendt-BONUS,Energistyrelsen
2/1/88,Renewable energy,Wind,Onshore,0.018,,5.71E+17,,813,Frederikshavn,,,582779.9,6357949,57.35687,10.37593,0.1,0.1,Ukendt,Ukendt-Ukendt,Energistyrelsen
2/1/88,Renewable energy,Wind,Onshore,0.18,,5.71E+17,,550,Tønder,Randerup,115,484025.9,6106207,55.10233,8.74964,30,23.2,Danwin,DW 23-180  ,Energistyrelsen
2/16/88,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,760,Ringkøbing-Skjern,Barde By,8b,480330.4,6219041,56.11605,8.68367,20,28,Windmatic,VM 17,Energistyrelsen
2/26/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,630,Vejle,Smidstrup by,16a,516496.3,6181569,55.77949,9.26301,30,24,BONUS,MK ll,Energistyrelsen
3/1/88,Renewable energy,Wind,Onshore,0.18,,5.71E+17,,825,Læsø,Vesterø,113bl,614432.4,6348333,57.26369,10.89731,30,23.2,Danwin,DW 23-Danwin,Energistyrelsen
3/7/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,615,Horsens,"ENNER BY, TAMDRUP",7e,543966.2,6196829,55.91488,9.70341,24,23,BONUS,150 kW,Energistyrelsen
3/14/88,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,479,Svendborg,"Vandmose Huse, Lunde",33g,599048.3,6111008,55.13582,10.55371,18,16,NEG Micon,Ukendt-NEG Micon,Energistyrelsen
3/15/88,Renewable energy,Wind,Onshore,0.2,,5.71E+17,,813,Frederikshavn,"Den nordøstlige Del, Understed",30a,589363.4,6361021,57.38321,10.48643,30,25,Vestas Wind Systems A/S,V 25-200 ,Energistyrelsen
3/18/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,370,Næstved,Glumsø,6a,670972.4,6139405,55.37113,11.69807,31,22,Vindsyssel,VS 150  DK 22,Energistyrelsen
3/22/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,630,Vejle,Knude Huse,1c,524773.8,6189020,55.84608,9.39565,30,27,Nordex,N 200,Energistyrelsen
3/23/88,Renewable energy,Wind,Onshore,0.0185,,5.71E+17,,326,Kalundborg,,,630131.6,6198812,55.9171,11.08223,18.6,10.8,Reymo,"18,5-Reymo",Energistyrelsen
3/29/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,316,Holbæk,"Hørby By, Hørby",7c,669559.4,6181019,55.74513,11.70132,30,24,Dan Force,DK 22-Dan Force,Energistyrelsen
3/30/88,Renewable energy,Wind,Onshore,0.15,,5.71E+17,,316,Holbæk,"Hørby By, Hørby",7a,669399.5,6180972,55.74477,11.69875,26,21.8,Dan Force,DK 22-Dan Force,Energistyrelsen
4/1/88,Renewable energy,Wind,Onshore,0.095,,5.71E+17,,265,Roskilde,Veddelev,15a,694651.4,6175237,55.68383,12.09635,28,19,Tellus,TE 95,Energistyrelsen
4/6/88,Renewable energy,Wind,Onshore,0.175,,5.71E+17,,849,Jammerbugt,Hvolgård,13a,537196.6,6323569,57.05404,9.61321,29,23.5,DWP,D 150,Energistyrelsen
4/6/88,Renewable energy,Wind,Onshore,0.175,,5.71E+17,,849,Jammerbugt,Hvolgård,13a,537281.2,6323477,57.05321,9.61459,29,23.5,DWP,D 150,Energistyrelsen
